商品コード,商品名,商品分類タグ,代表商品コード,Select/Checkbox用項目名,ship-weight
15-a,衣類 ブラショーツ5セット入り福袋 15,[S][Y][ゆうパックC],15,P1,1
15-b,衣類 ブラショーツ5セット入り福袋 15,[S][Y][ゆうパックC],15,P1,1
15-c,衣類 ブラショーツ5セット入り福袋 15,[S][Y][ゆうパックC],15,P1,1
a002,ヘアアクセサリー a002,[メール便可],,M10,
a007,衣類 ロングメッシュグローブ A007,[メール便可],,M20,10
a008-a,長財布 A008,[S][Y][ゆうパックC],a008,,
a008-b,長財布 A008,[S][Y][ゆうパックC],a008,,
a008-c,長財布 A008,[S][Y][ゆうパックC],a008,,
a009,ネックレス ピアスセット A009,[メール便可],,M20,
a010,ネックレス ピアス セット A010,[メール便可],,M20,
A011,ネックレス ピアス セット A011,[メール便可],,M20,10
a012,ネックレス ピアス セット A012,[メール便可],,M20,
a013,ネックレス ピアス セット A013,[メール便可],,M20,
a014,ネックレス ピアス セット A014,[メール便可],,M20,
a015,ネックレス ピアス セット A015,[メール便可],,M20,1
a016,ネックレス ピアス セット A016,[メール便可],,M20,
a017-a,iPhone5・5sカバー A017,[メール便可],a017,M20,10
a017-b,iPhone5・5sカバー A017,[メール便可],a017,M20,10
a017-c,iPhone5・5sカバー A017,[メール便可],a017,M20,10
a017-d,iPhone5・5sカバー A017,[メール便可],a017,M20,10
a018-a,iPhone5 5sカバー A018,[メール便可],a018,M20,10
a018-b,iPhone5 5sカバー A018,[メール便可],a018,M20,10
a018-c,iPhone5 5sカバー A018,[メール便可],a018,M20,10
a018-d,iPhone5 5sカバー A018,[メール便可],a018,M20,10
a019-a,マスク A019 @ブルー,[S][Y][ゆうパックC],a019,,
a019-b,マスク A019 @ブラック,[S][Y][ゆうパックC],a019,,
a019-c,マスク A019 @グリーン,[S][Y][ゆうパックC],a019,,
a020,衣類 サンタ帽子 A020,[メール便可],,M20,10
a021,衣類 サンタ 帽子 A021,[メール便可],,M20,10
a022,衣類 トナカイカチューシャ A022,[メール便可],,M20,10
a023,iphone5USBケーブル A023,[S][ゆうパック通商],,,
a025-abk,ベネチアンマスク a025 @ブラック @A,[S][Y][ゆうパックC],a025,,
a025-are,ベネチアンマスク a025 @レッド @A,[S][Y][ゆうパックC],a025,,
a025-awh,ベネチアンマスク a025 @ホワイト @A,[S][Y][ゆうパックC],a025,,
a025-bbk,ベネチアンマスク a025 @ブラック @B,[S][Y][ゆうパックC],a025,,
a025-bre,ベネチアンマスク a025 @レッド @B,[S][Y][ゆうパックC],a025,,
a025-bwh,ベネチアンマスク a025 @ホワイト @B,[S][Y][ゆうパックC],a025,,
a026,衣類 汗脇パッド A026,[メール便可],,M33,16
a027-1,サングラス A027,[S][Y][ゆうパックC],a027,,
a027-2,サングラス A027,[S][Y][ゆうパックC],a027,,
a027-3,サングラス A027,[S][Y][ゆうパックC],a027,,
a027-4,サングラス A027,[S][Y][ゆうパックC],a027,,
a028-1bk,ベネチアンマスク A028 @1-ブラック,[メール便可],a028,M20,10
a028-1wh,ベネチアンマスク A028 @1-ホワイト,[メール便可],a028,M20,10
a028-2bk,ベネチアンマスク A028 @2-ブラック,[メール便可],a028,M20,10
a028-2wh,ベネチアンマスク A028 @2-ホワイト,[メール便可],a028,M20,10
a028-3bk,ベネチアンマスク A028 @3-ブラック,[メール便可],a028,M20,10
a028-3wh,ベネチアンマスク A028 @3-ホワイト,[メール便可],a028,M20,10
a028-4bk,ベネチアンマスク A028 @4-ブラック,[メール便可],a028,M20,10
a028-4wh,ベネチアンマスク A028 @4-ホワイト,[メール便可],a028,M20,10
a029,ベネチアンマスク 手錠付き A029,[メール便可],,M20,10
a030-gol,マスク 海賊 骸骨 A030 @ゴールド,[S][Y][ゆうパックC],a030,,
a030-sil,マスク 海賊 骸骨 A030 @シルバー,[S][Y][ゆうパックC],a030,,
a031-bk,ロンググローブ A031 @ブラック,[メール便可],a031,M20,10
a031-re,ロンググローブ A031 @レッド,[メール便可],a031,M20,10
a031-wh,ロンググローブ A031 @ホワイト,[メール便可],a031,M20,10
a032,ピアスセット A032,[メール便可],,M20,
a033,トゥリング A033,[メール便可],,M20,
a034,ピアスセット A034,[メール便可],,M20,
a035,ピアスセット A035,[メール便可],,M20,
a036-be,つば広帽子 A036 @ベージュ,[メール便可],a036,M90,50
a036-bl,つば広帽子 A036 @デニム,[メール便可],a036,M90,50
a037-bl,サングラス 光る A037 @ブルー,[S][ゆうパック通商],a037,,
a037-gr,サングラス 光る A037 @グリーン,[S][ゆうパック通商],a037,,
a037-rai,サングラス 光る A037 @レインボー,[S][ゆうパック通商],a037,,
a037-re,サングラス 光る A037 @レッド,[S][ゆうパック通商],a037,,
a038-bl,衣類 猫耳カチューシャ A038 @小悪魔-ブルー,[メール便可],a038,M45,25
a038-gr,衣類 猫耳カチューシャ A038 @小悪魔-グリーン,[メール便可],a038,M45,25
a038-pk,衣類 猫耳カチューシャ A038 @小悪魔-ピンク,[メール便可],a038,M45,25
a038-ran,衣類 猫耳カチューシャ A038 @リボン-ランダム,[メール便可],a038,M45,25
a039-a,マスク リアルゾンビマスク A039 @A,[メール便可],a039,M90,10
a039-b,マスク リアルゾンビマスク A039 @B,[メール便可],a039,M90,10
a039-c,マスク リアルゾンビマスク A039 @C,[メール便可],a039,M90,10
a039-d,マスク リアルゾンビマスク A039 @D,[メール便可],a039,M90,10
a039-e,マスク リアルゾンビマスク A039 @E,[メール便可],a039,M90,10
a040-nbk,衣類 猫耳カチューシャ A040 @ドット柄ねこ耳 @ブラック,[メール便可],a040,M20,10
a040-nwh,衣類 猫耳カチューシャ A040 @ドット柄ねこ耳 @ホワイト,[メール便可],a040,M20,10
a040-ubk,衣類 猫耳カチューシャ A040 @レースうさ耳 @ブラック,[メール便可],a040,M20,10
a040-uwh,衣類 猫耳カチューシャ A040 @レースうさ耳 @ホワイト,[メール便可],a040,M20,10
a041-bk,衣類 アーチリング付きブレスレット A041 @ブラック,[メール便可],a041,M12,6
a041-bl,衣類 アーチリング付きブレスレット A041 @ブルー,[メール便可],a041,M12,6
a041-re,衣類 アーチリング付きブレスレット A041 @レッド,[メール便可],a041,M12,6
ab042-bk,トレッキングポール ライト付き 軽量 ad042,[S][ゆうパック通商],ad042,,
ab042-bl,トレッキングポール ライト付き 軽量 ad042,[S][ゆうパック通商],ad042,,
ab042-pu,トレッキングポール ライト付き 軽量 ad042,[S][ゆうパック通商],ad042,,
ab042-rd,トレッキングポール ライト付き 軽量 ad042,[S][ゆうパック通商],ad042,,
ab042-wh,トレッキングポール ライト付き 軽量 ad042,[S][ゆうパック通商],ad042,,
ad005,アルミ折りたたみテーブル ベンチセット ad005,[S][Y][ゆうパックC],,,
ad007,ファイヤースターター ad007,[メール便可],,M10,1
ad008,ソーラーledランタン ad008,[S][Y][ゆうパックC],,,
ad009-bk,シュラフ 封筒型 ad009 @ブラック,[S][Y][ゆうパックC],ad009,,
ad009-mi,シュラフ 封筒型 ad009 @水色×ブルー,[S][Y][ゆうパックC],ad009,,
ad009-ne,シュラフ 封筒型 ad009 @ネイビー,[S][Y][ゆうパックC],ad009,,
ad009-sbl,シュラフ 封筒型 ad009 @スカイブルー,[S][Y][ゆうパックC],ad009,,
ad009-wa,シュラフ 封筒型 ad009 @ワインレッド,[S][Y][ゆうパックC],ad009,,
ad010-bk,シュラフ 封筒型 ad010 @ブラック,[S][Y][ゆうパックC],ad010,,
ad010-mi,シュラフ 封筒型 ad010 @水色×ブルー,[S][Y][ゆうパックC],ad010,,
ad010-ne,シュラフ 封筒型 ad010 @ネイビー,[S][Y][ゆうパックC],ad010,,
ad010-sbl,シュラフ 封筒型 ad010 @スカイブルー,[S][Y][ゆうパックC],ad010,,
ad010-wa,シュラフ 封筒型 ad010 @ワインレッド,[S][Y][ゆうパックC],ad010,,
ad011-bl,キャンピングマット ad011 @ブルー,[S][Y][ゆうパックC],ad011,M20,10
ad011-gr,キャンピングマット ad011 @グリーン,[S][Y][ゆうパックC],ad011,M20,10
ad013,ヘッドライト ad013,[S][Y][ゆうパックC],,,
ad014,LEDハンディライト ad014,[S][Y][ゆうパックC],,,
ad016,投光器 ad016,[S][ゆうパック通商],,,
ad017-bl,ハンモック ad017 @ブルー,[S][ゆうパック通商],ad017,,
ad017-re,ハンモック ad017 @レッド,[S][ゆうパック通商],ad017,,
ad018,アウトドアテーブル 4チェアセット ad018,[S][Y][ゆうパックC],,,
ad019,折りたたみリクライニングチェア ad019,[S][ゆうパック通商],,,
ad020,LEDヘッドライト ad020,[S][Y][ゆうパックC],,,
ad021,ワンタッチテント ad021,[S][ゆうパック通商],,,
ad022-bl,タープテント 3m×3m ad022 @ブルー,[S][ゆうパック通商],ad022,P90,
ad022-co,タープテント 3m×3m ad022 @コーヒー,[S][ゆうパック通商],ad022,P90,
ad022-gr,タープテント 3m×3m ad022 @グリーン,[S][ゆうパック通商],ad022,P90,
ad022-og,タープテント 3m×3m ad022 @オレンジ,[S][ゆうパック通商],ad022,P90,
ad022-wa,タープテント 3m×3m ad022 @ワインレッド,[S][ゆうパック通商],ad022,P90,
ad023-bl,ハンモック ad023 @ブルー,[S][ゆうパック通商],ad023,,
ad023-gr,ハンモック ad023 @グリーン,[S][ゆうパック通商],ad023,,
ad023-pk,ハンモック ad023 @ピンク,[S][ゆうパック通商],ad023,,
ad023-ra,ハンモック ad023 @レインボー,[S][ゆうパック通商],ad023,,
ad024-bl,キャンピングマット ad024 @ブルー,[S][Y][ゆうパックC],ad024,,
ad024-gr,キャンピングマット ad024 @グリーン,[S][Y][ゆうパックC],ad024,,
ad025-a,レジャーシート ad025 @チェック柄,[メール便可],ad025,M90,50
ad025-b,レジャーシート ad025 @花柄,[メール便可],ad025,M90,50
ad025-c,レジャーシート ad025 @白花柄,[メール便可],ad025-c,M90,50
ad026-bl,アウトドアチェア ad026 @ブルー,[S][Y][ゆうパックC],ad026,,
ad026-mz,アウトドアチェア ad026 @水色,[S][Y][ゆうパックC],ad026,,
ad026-og,アウトドアチェア ad026 @オレンジ,[S][Y][ゆうパックC],ad026,,
ad026-re,アウトドアチェア ad026 @レッド,[S][Y][ゆうパックC],ad026,,
ad027,アウトドアテーブル ad027,[S][Y][ゆうパックC],,,
ad028-bk,ロッキングチェア ad028,[ヤマト],ad028,,
ad028-bl,ロッキングチェア ad028,[ヤマト],ad028,,
ad029-bk,フォールディングチェア ad029,[ヤマト],ad029,,
ad029-bl,フォールディングチェア ad029,[ヤマト],ad029,,
ad030-bk,フォールディングチェア ad030,[ヤマト],ad030,,
ad030-bl,フォールディングチェア ad030,[ヤマト],ad030,,
ad032,バーナー先端のみ ガストーチバーナー ad032,[メール便可],,,
ad033-bk,カセットガスストーブ ad033 @ブラック,[S][Y][ゆうパックC],ad033,P25,
ad033-gr,カセットガスストーブ ad033 @グリーン,[S][Y][ゆうパックC],ad033,P25,
ad033-or,カセットガスストーブ ad033 @オレンジ,[S][Y][ゆうパックC],ad033,P25,
ad034,寝袋 ブランケット セット品 1.35kg ad034,[S][Y][ゆうパックC],,,
ad035-bl,羽毛寝袋 ad035 @ブルー,[S][Y][ゆうパックC],ad035,,
ad035-or,羽毛寝袋 ad035 @オレンジ,[S][Y][ゆうパックC],ad035,,
ad036,サイクルコンピューター ad036,[メール便可],,,
ad037,スマホホルダー ad037,[メール便可],,M20,10
ad038-bk,バックパック ad038 @ブラック,[S][Y][ゆうパックC],ad038,,
ad038-gr,バックパック ad038 @グリーン,[S][Y][ゆうパックC],ad038,,
ad038-ne,バックパック ad038 @ネイビー,[S][Y][ゆうパックC],ad038,,
ad038-re,バックパック ad038 @ワインレッド,[S][Y][ゆうパックC],ad038,,
ad039-br,アルミレジャーテーブル 120cm ad039 @ブラウン,[S][ゆうパック通商],ad039,P45,
ad039-na,アルミレジャーテーブル 120cm ad039 @ナチュラル,[S][ゆうパック通商],ad039,P45,
ad039-wh,アルミレジャーテーブル 120cm ad039 @ホワイト,[S][ゆうパック通商],ad039,P45,
ad040-br,アルミレジャーテーブル 180cm ad040 @ブラウン,[S][ゆうパック通商],ad040,,
ad040-na,アルミレジャーテーブル 180cm ad040 @ナチュラル,[S][ゆうパック通商],ad040,,
ad040-wh,アルミレジャーテーブル 180cm ad040 @ホワイト,[S][ゆうパック通商],ad040,,
ad041-bk,トレッキングポール ラバーバット付き ad041,[S][Y][ゆうパックC],ad041,,
ad041-bl,トレッキングポール ラバーバット付き ad041,[S][Y][ゆうパックC],ad041,,
ad041-pu,トレッキングポール ラバーバット付き ad041,[S][Y][ゆうパックC],ad041,,
ad041-wh,トレッキングポール ラバーバット付き ad041,[S][Y][ゆうパックC],ad041,,
ad041b-bk,トレッキングポール 2本セット ストラップ付き ad041b,[S][ゆうパック通商],ad041b,,
